invoice_code,invoice_number,invoice_date,customer_name,customer_email,customer_address,customer_city,customer_state,customer_postal_code,customer_country,payment_method,payment_due_date,subtotal,tax_rate,tax_amount,discount_rate,discount_amount,total,notes,status,created_by,created_at,updated_by,updated_at,due_date,paid_date,currency,exchange_rate,payment_reference,shipping_address,shipping_city,shipping_state,shipping_postal_code,shipping_country
t7*,1793,8/22/2022,Margit Kordovani,kmannockf@chronoengine.com,3810 Melvin Junction,Blagoveshchensk,,675029,Russia,debit card,6/11/2022,3015.81,0.05,150.7905,0.28,844.4268,2322.1737,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",draft,Verile Bigmore,3/30/2022,Kiah Mannock,6/12/2022,6/11/2022,8/30/2022,RUB,6.885,transaction ID,13 Larry Junction,Slobidka,,,Ukraine
fj*,3927,2/21/2022,Hali Vanyushin,hbischofg@friendfeed.com,721 Ronald Regan Center,Blimbing,,,Indonesia,credit card,6/24/2022,9508.42,0.02,190.1684,0.46,4373.8732,5324.7152,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",draft,Charmion Rutigliano,7/21/2022,Haroun Bischof,12/17/2022,1/6/2022,4/22/2022,IDR,6.8971,transaction ID,13 Golf View Junction,Ilyich,,,Kazakhstan
p1*,2696,1/10/2022,Roxane Filshin,dwilmuth@about.me,37 Del Mar Plaza,Póvoa,18,3450-440,Portugal,PayPal,10/10/2022,1742.18,0.12,209.0616,0.07,121.9526,1829.289,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",draft,Kenyon Adicot,2/18/2022,Darnell Wilmut,2/11/2022,2/23/2022,11/22/2022,EUR,5.8432,transaction ID,38850 Autumn Leaf Drive,Labytnangi,,629405,Russia
a_*,7383,12/30/2022,Boyce Lissaman,esiberryi@networkadvertising.org,42 Pearson Point,Lebedyan’,,623511,Russia,debit card,6/22/2022,3239.58,0.06,194.3748,0.49,1587.3942,1846.5606,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",overdue,Giorgia Bench,5/12/2022,Ellissa Siberry,3/26/2022,12/22/2022,8/30/2022,RUB,7.6639,payment ID,96711 Westerfield Lane,Kawangu,,,Indonesia
AN*,7843,4/18/2022,Francklyn Mitro,teynaldj@hatena.ne.jp,66018 Elmside Parkway,Chenqing,,,China,debit card,5/20/2022,2130.97,0.18,383.5746,0.08,170.4776,2344.067,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,overdue,Chester Batalle,11/25/2022,Tabitha Eynald,4/24/2022,10/29/2022,12/29/2022,CNY,0.3169,reference number,8 Golf Course Lane,London,ENG,EC3M,United Kingdom
s0*,5779,4/5/2022,Amalita Badrick,npiddletownk@unc.edu,030 Hollow Ridge Avenue,Jihlava,,586 01,Czech Republic,credit card,6/10/2022,8783.01,0.19,1668.7719,0.36,3161.8836,7289.8983,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",paid,Essa Stonebridge,6/1/2022,Niki Piddletown,10/23/2022,3/17/2022,4/29/2022,CZK,6.4631,transaction ID,3 Parkside Terrace,Blon’,,,Belarus
QV*,6355,9/12/2022,Trent Benwell,asotworthl@tinyurl.com,6 Randy Trail,Pieniężno,,14-520,Poland,debit card,7/9/2022,6494.66,0.18,1169.0388,0.17,1104.0922,6559.6066,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",sent,Ruthy Goodinge,3/5/2022,Alfy Sotworth,3/9/2022,9/27/2022,8/5/2022,PLN,5.7016,payment ID,7674 Dayton Parkway,Gālīkesh,,,Iran
Gs*,9676,5/17/2022,Edouard Bilton,cchristoffersenm@ycombinator.com,4782 Green Point,Besko,,38-524,Poland,debit card,10/20/2022,6983.99,0.15,1047.5985,0.14,977.7586,7053.8299,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",paid,Armstrong Haslegrave,12/15/2022,Clifford Christoffersen,4/27/2022,8/2/2022,12/13/2022,PLN,8.1342,payment ID,3 Clemons Parkway,Kista,AB,164 73,Sweden
Yu*,7346,3/1/2022,Jens Winspurr,gmacgarrityn@squidoo.com,67575 Center Point,Hepu,,,China,PayPal,6/11/2022,217.65,0.01,2.1765,0.09,19.5885,200.238,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",overdue,Renaldo Rochester,1/1/2022,Godart MacGarrity,1/19/2022,1/21/2022,10/29/2022,CNY,0.7531,transaction ID,90049 Reinke Trail,Clearwater,FL,34615,United States
KV*,5013,6/27/2022,Tann Skeath,mevisono@cdc.gov,96 Kropf Terrace,Yaguajay,,,Cuba,credit card,7/7/2022,6844.66,0.18,1232.0388,0.4,2737.864,5338.8348,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",draft,Jessi Haddington,8/7/2022,Meryl Evison,9/23/2022,5/30/2022,10/6/2022,CUP,5.2814,transaction ID,4768 Linden Pass,Tsiombe,,,Madagascar
J6*,4376,12/14/2022,Carmel Filov,mheldp@google.ru,2 Bunting Trail,Lamarosa,06,3025-389,Portugal,PayPal,8/25/2022,4626.74,0.11,508.9414,0.01,46.2674,5089.414,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,sent,Caesar Wife,12/29/2022,Maurise Held,8/28/2022,5/7/2022,1/11/2022,EUR,7.2584,payment ID,075 Rockefeller Circle,Alindao,,,Central African Republic
En*,7830,1/18/2022,Selle Eagell,arushmereq@wunderground.com,80959 Sugar Place,Kętrzyn,,11-414,Poland,PayPal,11/21/2022,2295.84,0.16,367.3344,0.41,941.2944,1721.88,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",draft,Hillel Nunson,9/26/2022,Alasteir Rushmere,4/15/2022,2/9/2022,12/9/2022,PLN,8.4684,payment ID,257 Marcy Trail,Vysokovsk,,141650,Russia
O_*,6107,6/17/2022,Bernelle Gouthier,nborelandr@fotki.com,4 Kinsman Hill,Zhuhu,,,China,credit card,8/5/2022,3874.56,0.02,77.4912,0.36,1394.8416,2557.2096,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",paid,Kellina Cannan,5/25/2022,Neville Boreland,9/25/2022,3/21/2022,7/9/2022,CNY,0.3139,transaction ID,8192 Manley Park,Salt Lake City,UT,84105,United States
oU*,5920,11/3/2022,Galven Drejer,awooliss@blogs.com,604 Oneill Court,Beizhuang,,,China,credit card,2/8/2022,8670.52,0.02,173.4104,0.13,1127.1676,7716.7628,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",paid,Ursula Dadge,8/22/2022,Anet Woolis,11/19/2022,2/16/2022,9/21/2022,CNY,5.1985,transaction ID,3 Everett Drive,Obrera,COL,32050,Mexico
Qi*,9310,4/11/2022,Aubine Smeeth,nmulbryt@tamu.edu,1 Drewry Pass,Krajan,,,Indonesia,debit card,4/17/2022,9167.98,0.02,183.3596,0.03,275.0394,9076.3002,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",sent,Boot Comber,6/10/2022,Nessi Mulbry,6/4/2022,4/30/2022,5/8/2022,IDR,4.6534,payment ID,11808 Buell Avenue,Liuji,,,China
h7*,5031,11/25/2022,Odelinda Pagden,cbremneru@scribd.com,712 Carberry Way,Dihtyari,,,Ukraine,debit card,9/4/2022,5481.09,0.06,328.8654,0.47,2576.1123,3233.8431,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",overdue,Dietrich Caile,9/4/2022,Cristy Bremner,5/12/2022,1/3/2022,2/13/2022,UAH,2.3416,payment ID,06168 Canary Junction,Santa Ana,,,Venezuela
z_*,6834,12/21/2022,Franciskus Keune,zpeeterv@cnn.com,47 Rutledge Street,Ikeda,,949-1616,Japan,debit card,2/6/2022,2457.87,0.17,417.8379,0.07,172.0509,2703.657,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",paid,Tiebout Dicke,7/9/2022,Zondra Peeter,9/3/2022,3/27/2022,4/12/2022,JPY,0.476,reference number,421 Village Plaza,Round Rock,TX,78682,United States
P_*,6531,8/20/2022,Joyan Hattoe,iduchartw@cafepress.com,71793 Becker Center,La Purisima,GUA,36200,Mexico,credit card,6/12/2022,8030.52,0.08,642.4416,0.12,963.6624,7709.2992,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",draft,Melantha Moffat,3/14/2022,Issi Duchart,4/20/2022,3/5/2022,6/29/2022,MXN,9.0072,reference number,116 Barnett Plaza,Altona,MB,K1W,Canada
XT*,6039,3/28/2022,Vaclav Cicculi,lduggonx@cargocollective.com,6 Manufacturers Junction,Koumra,,,Chad,credit card,1/10/2022,8494.72,0.11,934.4192,0.41,3482.8352,5946.304,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",draft,Loleta Andraud,4/26/2022,Lucretia Duggon,9/18/2022,1/15/2022,2/14/2022,XAF,7.557,payment ID,8731 Delladonna Terrace,Binagadi,,,Azerbaijan
So*,5839,5/4/2022,Benedikt Alkins,mgotcliffy@berkeley.edu,5 Sloan Place,Moriya,,962-0305,Japan,credit card,5/12/2022,4308.77,0.08,344.7016,0.12,517.0524,4136.4192,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",paid,Ingaberg Vautin,10/29/2022,Micky Gotcliff,12/7/2022,2/27/2022,3/18/2022,JPY,4.0433,transaction ID,1 Butterfield Drive,Kylmäkoski,,37960,Finland
Qm*,1214,2/19/2022,Susan Fosher,fastinz@purevolume.com,656 Dixon Terrace,New Haven,CT,06510,United States,debit card,9/4/2022,4164.92,0.06,249.8952,0.24,999.5808,3415.2344,In congue. Etiam justo. Etiam pretium iaculis justo.,sent,Phylis Pedrick,6/4/2022,Fulvia Astin,6/9/2022,3/17/2022,3/14/2022,USD,9.8408,payment ID,6 Graedel Circle,Renhe,,,China
x5*,4976,3/14/2022,Lottie Sunter,cocorhane10@state.tx.us,402 Sunnyside Point,Gryazovets,,162002,Russia,PayPal,2/7/2022,8235.34,0.2,1647.068,0.02,164.7068,9717.7012,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",overdue,Lorianne Oldacres,11/24/2022,Carlen O'Corhane,6/11/2022,7/8/2022,2/2/2022,RUB,4.6605,reference number,12327 Pawling Way,Fuan,,,Indonesia
mc*,1287,2/20/2022,Georgie Lockhurst,nfalla11@nasa.gov,4108 Dayton Trail,Panglanjan,,,Indonesia,PayPal,1/20/2022,3016.85,0.11,331.8535,0.11,331.8535,3016.85,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",overdue,Fredrick Malbon,2/16/2022,Nerta Falla,4/25/2022,12/30/2022,9/14/2022,IDR,8.824,payment ID,98 Del Mar Trail,Bāmyān,,,Afghanistan
e_*,6532,10/23/2022,Igor Torrejon,mbeldon12@engadget.com,74641 Dwight Court,Kalino,,618245,Russia,credit card,10/17/2022,2075.74,0.07,145.3018,0.11,228.3314,1992.7104,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",sent,Rooney Dodamead,1/1/2022,Maude Beldon,8/10/2022,4/2/2022,8/27/2022,RUB,7.7754,reference number,4 Glacier Hill Way,Jingzhou,,,China
b_*,9338,12/14/2022,Agnola MacLese,crobak13@mediafire.com,115 Kipling Junction,Nerópolis,,75460-000,Brazil,credit card,5/22/2022,2889.64,0.07,202.2748,0.48,1387.0272,1704.8876,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",overdue,Hulda Muglestone,2/13/2022,Carlie Robak,2/17/2022,9/11/2022,1/2/2022,BRL,7.9499,reference number,5230 Moulton Lane,Néa Palátia,,,Greece
n_*,3939,9/18/2022,Archibold Blees,kjanos14@ucsd.edu,7 Lukken Drive,Khotynets,,303930,Russia,credit card,12/20/2022,9664.24,0.04,386.5696,0.0,0.0,10050.8096,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",sent,Wenonah Cooper,5/4/2022,Krishnah Janos,6/22/2022,9/21/2022,9/21/2022,RUB,8.8564,reference number,1681 Lindbergh Street,Huayana,,,Peru
gF*,8156,3/11/2022,Glori Pettisall,dsylvester15@domainmarket.com,9635 Lawn Terrace,Gunungkoneng,,,Indonesia,credit card,6/6/2022,4473.17,0.09,402.5853,0.21,939.3657,3936.3896,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",draft,Norris Hearle,12/20/2022,Denice Sylvester,12/14/2022,12/30/2022,12/27/2022,IDR,2.325,payment ID,22 Dakota Trail,Glagahdowo,,,Indonesia
Hn*,2507,6/8/2022,Bjorn Kearle,pfollet16@csmonitor.com,81225 Knutson Drive,Nesterovskaya,,386250,Russia,PayPal,8/3/2022,4331.86,0.17,736.4162,0.25,1082.965,3985.3112,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",paid,Phylys Roarty,5/28/2022,Phip Follet,1/12/2022,7/31/2022,12/13/2022,RUB,4.0376,transaction ID,93374 Lerdahl Hill,Ressano Garcia,,,Mozambique
n2*,3300,11/19/2022,Chiquia Siviour,bmackegg17@ihg.com,4998 Pennsylvania Place,Lühua,,,China,PayPal,2/27/2022,3622.84,0.09,326.0556,0.2,724.568,3224.3276,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",draft,Niko Levine,10/25/2022,Bryant MacKegg,8/16/2022,11/18/2022,4/29/2022,CNY,3.8584,transaction ID,55 Maryland Center,Rokoy,,,Indonesia
